waveform	Ch0		Gen	
t0	11/14/2016  20:10:35.691653		11/14/2016  20:10:35.691665	
delta t	0.000500		0.000500	

time[0]	Ch0	time[1]	Gen
11/14/2016  20:10:35.691653	2.628407E+0	11/14/2016  20:10:35.691665	6.235948E-4
11/14/2016  20:10:35.692153	2.628407E+0	11/14/2016  20:10:35.692165	1.275327E-3
11/14/2016  20:10:35.692653	2.628081E+0	11/14/2016  20:10:35.692665	1.275327E-3
11/14/2016  20:10:35.693153	2.628733E+0	11/14/2016  20:10:35.693165	9.494608E-4
11/14/2016  20:10:35.693653	2.628733E+0	11/14/2016  20:10:35.693665	6.235948E-4
11/14/2016  20:10:35.694153	2.628407E+0	11/14/2016  20:10:35.694165	1.275327E-3
11/14/2016  20:10:35.694653	2.629059E+0	11/14/2016  20:10:35.694665	1.601193E-3
11/14/2016  20:10:35.695153	2.628733E+0	11/14/2016  20:10:35.695165	2.977288E-4
11/14/2016  20:10:35.695653	2.629385E+0	11/14/2016  20:10:35.695665	1.275327E-3
11/14/2016  20:10:35.696153	2.628733E+0	11/14/2016  20:10:35.696165	1.601193E-3
11/14/2016  20:10:35.696653	2.627430E+0	11/14/2016  20:10:35.696665	1.275327E-3
11/14/2016  20:10:35.697153	2.628407E+0	11/14/2016  20:10:35.697165	1.601193E-3
11/14/2016  20:10:35.697653	2.628733E+0	11/14/2016  20:10:35.697665	6.235948E-4
11/14/2016  20:10:35.698153	2.628407E+0	11/14/2016  20:10:35.698165	6.235948E-4
11/14/2016  20:10:35.698653	2.628081E+0	11/14/2016  20:10:35.698665	6.235948E-4
11/14/2016  20:10:35.699153	2.629385E+0	11/14/2016  20:10:35.699165	9.494608E-4
11/14/2016  20:10:35.699653	2.629059E+0	11/14/2016  20:10:35.699665	2.977288E-4
11/14/2016  20:10:35.700153	2.628733E+0	11/14/2016  20:10:35.700165	6.235948E-4
11/14/2016  20:10:35.700653	2.629059E+0	11/14/2016  20:10:35.700665	2.977288E-4
11/14/2016  20:10:35.701153	2.629059E+0	11/14/2016  20:10:35.701165	1.601193E-3
11/14/2016  20:10:35.701653	2.629059E+0	11/14/2016  20:10:35.701665	1.927059E-3
11/14/2016  20:10:35.702153	2.628733E+0	11/14/2016  20:10:35.702165	1.275327E-3
11/14/2016  20:10:35.702653	2.628407E+0	11/14/2016  20:10:35.702665	2.977288E-4
11/14/2016  20:10:35.703153	2.628733E+0	11/14/2016  20:10:35.703165	-2.813726E-5
11/14/2016  20:10:35.703653	2.628081E+0	11/14/2016  20:10:35.703665	9.494608E-4
11/14/2016  20:10:35.704153	2.629059E+0	11/14/2016  20:10:35.704165	1.275327E-3
11/14/2016  20:10:35.704653	2.628733E+0	11/14/2016  20:10:35.704665	1.275327E-3
11/14/2016  20:10:35.705153	2.629059E+0	11/14/2016  20:10:35.705165	-2.813726E-5
11/14/2016  20:10:35.705653	2.629059E+0	11/14/2016  20:10:35.705665	1.275327E-3
11/14/2016  20:10:35.706153	2.628407E+0	11/14/2016  20:10:35.706165	9.494608E-4
11/14/2016  20:10:35.706653	2.628733E+0	11/14/2016  20:10:35.706665	6.235948E-4
11/14/2016  20:10:35.707153	2.629059E+0	11/14/2016  20:10:35.707165	1.275327E-3
11/14/2016  20:10:35.707653	2.629711E+0	11/14/2016  20:10:35.707665	9.494608E-4
11/14/2016  20:10:35.708153	2.628733E+0	11/14/2016  20:10:35.708165	-2.813726E-5
11/14/2016  20:10:35.708653	2.628733E+0	11/14/2016  20:10:35.708665	6.235948E-4
11/14/2016  20:10:35.709153	2.629385E+0	11/14/2016  20:10:35.709165	-2.813726E-5
11/14/2016  20:10:35.709653	2.628733E+0	11/14/2016  20:10:35.709665	1.927059E-3
11/14/2016  20:10:35.710153	2.629385E+0	11/14/2016  20:10:35.710165	-2.813726E-5
